"variable","level","count","pct"
"school","GP",348,88.3
"school","MS",46,11.7
"sex","F",208,52.8
"sex","M",186,47.2
"address","R",88,22.3
"address","U",306,77.7
"famsize","GT3",280,71.1
"famsize","LE3",114,28.9
"Pstatus","A",41,10.4
"Pstatus","T",353,89.6
"higher","no",20,5.1
"higher","yes",374,94.9
"schoolsup","no",343,87.1
"schoolsup","yes",51,12.9
"internet","no",66,16.8
"internet","yes",328,83.2
"romantic","no",262,66.5
"romantic","yes",132,33.5
"at_risk","At Risk",130,33
"at_risk","Low Risk",264,67
