"variable","n","mean","sd","median","q25","q75","min","max"
"G1",394,10.91,3.32,11,8,13,3,19
"G2",394,10.72,3.77,11,9,13,0,19
"G3",394,10.42,4.59,11,8,14,0,20
"absences",394,5.71,8.01,4,0,8,0,75
"studytime",394,2.04,0.84,2,1,2,1,4
"failures",394,0.34,0.74,0,0,0,0,3
"age",394,16.71,1.27,17,16,18,15,22
"traveltime",394,1.45,0.7,1,1,2,1,4
"famrel",394,3.94,0.9,4,4,5,1,5
"freetime",394,3.24,1,3,3,4,1,5
"goout",394,3.11,1.11,3,2,4,1,5
"Dalc",394,1.48,0.89,1,1,2,1,5
"Walc",394,2.29,1.29,2,1,3,1,5
"health",394,3.55,1.39,4,3,5,1,5
"Medu",394,2.75,1.09,3,2,4,0,4
"Fedu",394,2.52,1.09,2,2,3,0,4
