"student_index","baseline_prob","scenario_prob","delta_prob","baseline_class","scenario_class","class_changed","actual_at_risk"
204,0.635,0.3731,-0.2619,"At Risk","Low Risk",TRUE,"Low Risk"
334,0.635,0.3731,-0.2619,"At Risk","Low Risk",TRUE,"At Risk"
271,0.5894,0.3294,-0.2601,"At Risk","Low Risk",TRUE,"Low Risk"
282,0.7116,0.4577,-0.2539,"At Risk","Low Risk",TRUE,"Low Risk"
338,0.7123,0.4585,-0.2537,"At Risk","Low Risk",TRUE,"Low Risk"
94,0.7164,0.4635,-0.2528,"At Risk","Low Risk",TRUE,"Low Risk"
210,0.728,0.478,-0.25,"At Risk","Low Risk",TRUE,"At Risk"
293,0.7306,0.4812,-0.2494,"At Risk","Low Risk",TRUE,"Low Risk"
330,0.5153,0.2667,-0.2486,"At Risk","Low Risk",TRUE,"At Risk"
298,0.7508,0.5075,-0.2433,"At Risk","At Risk",FALSE,"Low Risk"
38,0.6302,0.387,-0.2432,"At Risk","Low Risk",TRUE,"Low Risk"
152,0.6318,0.3886,-0.2432,"At Risk","Low Risk",TRUE,"Low Risk"
331,0.631,0.3878,-0.2432,"At Risk","Low Risk",TRUE,"Low Risk"
205,0.6417,0.3989,-0.2429,"At Risk","Low Risk",TRUE,"At Risk"
109,0.6427,0.3999,-0.2428,"At Risk","Low Risk",TRUE,"Low Risk"
315,0.5983,0.3556,-0.2427,"At Risk","Low Risk",TRUE,"Low Risk"
264,0.6494,0.407,-0.2425,"At Risk","Low Risk",TRUE,"At Risk"
387,0.6568,0.4149,-0.242,"At Risk","Low Risk",TRUE,"At Risk"
108,0.7563,0.5149,-0.2414,"At Risk","At Risk",FALSE,"Low Risk"
256,0.7567,0.5155,-0.2412,"At Risk","At Risk",FALSE,"Low Risk"
323,0.6664,0.4253,-0.2411,"At Risk","Low Risk",TRUE,"Low Risk"
317,0.5524,0.3137,-0.2387,"At Risk","Low Risk",TRUE,"At Risk"
344,0.695,0.4577,-0.2373,"At Risk","Low Risk",TRUE,"Low Risk"
347,0.5389,0.3022,-0.2368,"At Risk","Low Risk",TRUE,"At Risk"
244,0.5368,0.3004,-0.2364,"At Risk","Low Risk",TRUE,"At Risk"
336,0.5339,0.2979,-0.236,"At Risk","Low Risk",TRUE,"Low Risk"
101,0.7049,0.4695,-0.2354,"At Risk","Low Risk",TRUE,"Low Risk"
340,0.5096,0.2779,-0.2316,"At Risk","Low Risk",TRUE,"Low Risk"
372,0.7292,0.4994,-0.2298,"At Risk","Low Risk",TRUE,"Low Risk"
135,0.7473,0.5227,-0.2245,"At Risk","At Risk",FALSE,"At Risk"
379,0.609,0.3846,-0.2245,"At Risk","Low Risk",TRUE,"Low Risk"
389,0.6171,0.3927,-0.2245,"At Risk","Low Risk",TRUE,"At Risk"
86,0.6184,0.394,-0.2244,"At Risk","Low Risk",TRUE,"At Risk"
85,0.5977,0.3734,-0.2243,"At Risk","Low Risk",TRUE,"At Risk"
272,0.6264,0.4021,-0.2243,"At Risk","Low Risk",TRUE,"Low Risk"
388,0.5981,0.3738,-0.2243,"At Risk","Low Risk",TRUE,"At Risk"
365,0.6288,0.4045,-0.2242,"At Risk","Low Risk",TRUE,"Low Risk"
296,0.6327,0.4086,-0.2241,"At Risk","Low Risk",TRUE,"At Risk"
47,0.6369,0.413,-0.2239,"At Risk","Low Risk",TRUE,"Low Risk"
179,0.6367,0.4128,-0.2239,"At Risk","Low Risk",TRUE,"Low Risk"
321,0.6364,0.4125,-0.2239,"At Risk","Low Risk",TRUE,"At Risk"
363,0.6358,0.4119,-0.2239,"At Risk","Low Risk",TRUE,"Low Risk"
107,0.7496,0.5258,-0.2238,"At Risk","At Risk",FALSE,"Low Risk"
61,0.5825,0.3588,-0.2237,"At Risk","Low Risk",TRUE,"Low Risk"
185,0.5757,0.3524,-0.2233,"At Risk","Low Risk",TRUE,"Low Risk"
265,0.6468,0.4235,-0.2233,"At Risk","Low Risk",TRUE,"Low Risk"
343,0.575,0.3518,-0.2232,"At Risk","Low Risk",TRUE,"At Risk"
168,0.6556,0.4329,-0.2226,"At Risk","Low Risk",TRUE,"At Risk"
174,0.6569,0.4344,-0.2225,"At Risk","Low Risk",TRUE,"At Risk"
311,0.6569,0.4344,-0.2225,"At Risk","Low Risk",TRUE,"Low Risk"
239,0.6607,0.4385,-0.2221,"At Risk","Low Risk",TRUE,"At Risk"
312,0.6623,0.4403,-0.222,"At Risk","Low Risk",TRUE,"Low Risk"
76,0.8009,0.5792,-0.2217,"At Risk","At Risk",FALSE,"Low Risk"
209,0.7558,0.5341,-0.2217,"At Risk","At Risk",FALSE,"At Risk"
305,0.556,0.3344,-0.2216,"At Risk","Low Risk",TRUE,"Low Risk"
2,0.669,0.4478,-0.2213,"At Risk","Low Risk",TRUE,"At Risk"
354,0.5522,0.331,-0.2213,"At Risk","Low Risk",TRUE,"Low Risk"
219,0.7571,0.5358,-0.2212,"At Risk","At Risk",FALSE,"Low Risk"
287,0.7574,0.5362,-0.2211,"At Risk","At Risk",FALSE,"Low Risk"
348,0.7573,0.5362,-0.2211,"At Risk","At Risk",FALSE,"Low Risk"
202,0.6715,0.4505,-0.221,"At Risk","Low Risk",TRUE,"Low Risk"
240,0.6717,0.4508,-0.2209,"At Risk","Low Risk",TRUE,"Low Risk"
294,0.758,0.5371,-0.2209,"At Risk","At Risk",FALSE,"Low Risk"
188,0.6731,0.4523,-0.2208,"At Risk","Low Risk",TRUE,"At Risk"
286,0.7594,0.539,-0.2204,"At Risk","At Risk",FALSE,"Low Risk"
134,0.6791,0.4591,-0.22,"At Risk","Low Risk",TRUE,"At Risk"
302,0.7605,0.5405,-0.22,"At Risk","At Risk",FALSE,"Low Risk"
200,0.6807,0.4609,-0.2197,"At Risk","Low Risk",TRUE,"Low Risk"
60,0.6919,0.4739,-0.218,"At Risk","Low Risk",TRUE,"Low Risk"
357,0.6924,0.4745,-0.2179,"At Risk","Low Risk",TRUE,"Low Risk"
360,0.6959,0.4786,-0.2173,"At Risk","Low Risk",TRUE,"Low Risk"
211,0.6969,0.4798,-0.2171,"At Risk","Low Risk",TRUE,"Low Risk"
319,0.697,0.4799,-0.2171,"At Risk","Low Risk",TRUE,"Low Risk"
297,0.5185,0.3016,-0.2168,"At Risk","Low Risk",TRUE,"At Risk"
115,0.7006,0.4842,-0.2164,"At Risk","Low Risk",TRUE,"Low Risk"
284,0.5127,0.2968,-0.2159,"At Risk","Low Risk",TRUE,"Low Risk"
313,0.5126,0.2967,-0.2159,"At Risk","Low Risk",TRUE,"Low Risk"
30,0.7051,0.4896,-0.2155,"At Risk","Low Risk",TRUE,"Low Risk"
374,0.7736,0.5587,-0.2149,"At Risk","At Risk",FALSE,"Low Risk"
138,0.5047,0.2902,-0.2145,"At Risk","Low Risk",TRUE,"Low Risk"
24,0.7106,0.4962,-0.2144,"At Risk","Low Risk",TRUE,"Low Risk"
329,0.7749,0.5605,-0.2144,"At Risk","At Risk",FALSE,"Low Risk"
273,0.711,0.4967,-0.2143,"At Risk","Low Risk",TRUE,"Low Risk"
318,0.7753,0.5611,-0.2142,"At Risk","At Risk",FALSE,"Low Risk"
361,0.5016,0.2876,-0.214,"At Risk","Low Risk",TRUE,"Low Risk"
258,0.7154,0.502,-0.2133,"At Risk","At Risk",FALSE,"Low Risk"
292,0.4972,0.284,-0.2132,"Low Risk","Low Risk",FALSE,"Low Risk"
362,0.7169,0.5039,-0.213,"At Risk","At Risk",FALSE,"Low Risk"
121,0.8172,0.6047,-0.2126,"At Risk","At Risk",FALSE,"Low Risk"
300,0.4911,0.2791,-0.212,"Low Risk","Low Risk",FALSE,"Low Risk"
67,0.8185,0.6066,-0.2118,"At Risk","At Risk",FALSE,"Low Risk"
328,0.7817,0.5701,-0.2116,"At Risk","At Risk",FALSE,"At Risk"
217,0.4884,0.2769,-0.2115,"Low Risk","Low Risk",FALSE,"At Risk"
136,0.7239,0.5127,-0.2113,"At Risk","At Risk",FALSE,"At Risk"
229,0.783,0.5721,-0.2109,"At Risk","At Risk",FALSE,"Low Risk"
369,0.728,0.5178,-0.2102,"At Risk","At Risk",FALSE,"Low Risk"
268,0.4793,0.2697,-0.2096,"Low Risk","Low Risk",FALSE,"Low Risk"
316,0.7304,0.5208,-0.2096,"At Risk","At Risk",FALSE,"At Risk"
130,0.4215,0.2125,-0.209,"Low Risk","Low Risk",FALSE,"At Risk"
183,0.7345,0.526,-0.2085,"At Risk","At Risk",FALSE,"At Risk"
262,0.7891,0.581,-0.2082,"At Risk","At Risk",FALSE,"Low Risk"
332,0.7355,0.5273,-0.2082,"At Risk","At Risk",FALSE,"At Risk"
333,0.7387,0.5314,-0.2073,"At Risk","At Risk",FALSE,"At Risk"
263,0.7913,0.5841,-0.2072,"At Risk","At Risk",FALSE,"At Risk"
335,0.792,0.5851,-0.2069,"At Risk","At Risk",FALSE,"Low Risk"
341,0.4644,0.2581,-0.2063,"Low Risk","Low Risk",FALSE,"At Risk"
