"student_index","baseline_prob","scenario_prob","delta_prob","baseline_class","scenario_class","class_changed","actual_at_risk"
75,0.6869,0.6576,-0.0292,"At Risk","At Risk",FALSE,"Low Risk"
183,0.7345,0.7068,-0.0277,"At Risk","At Risk",FALSE,"At Risk"
276,0.8524,0.8276,-0.0247,"At Risk","At Risk",FALSE,"At Risk"
315,0.5983,0.5745,-0.0238,"At Risk","At Risk",FALSE,"Low Risk"
307,0.311,0.2914,-0.0197,"Low Risk","Low Risk",FALSE,"At Risk"
205,0.6417,0.6258,-0.016,"At Risk","At Risk",FALSE,"At Risk"
103,0.4727,0.4568,-0.0159,"Low Risk","Low Risk",FALSE,"At Risk"
41,0.4627,0.4474,-0.0152,"Low Risk","Low Risk",FALSE,"Low Risk"
198,0.4744,0.4597,-0.0147,"Low Risk","Low Risk",FALSE,"Low Risk"
313,0.5126,0.499,-0.0135,"At Risk","Low Risk",TRUE,"Low Risk"
216,0.4015,0.3886,-0.0129,"Low Risk","Low Risk",FALSE,"At Risk"
280,0.791,0.7786,-0.0125,"At Risk","At Risk",FALSE,"At Risk"
118,0.4511,0.439,-0.0121,"Low Risk","Low Risk",FALSE,"At Risk"
311,0.6569,0.6457,-0.0112,"At Risk","At Risk",FALSE,"Low Risk"
281,0.6377,0.6268,-0.0109,"At Risk","At Risk",FALSE,"Low Risk"
379,0.609,0.599,-0.01,"At Risk","At Risk",FALSE,"Low Risk"
165,0.5349,0.5251,-0.0098,"At Risk","At Risk",FALSE,"Low Risk"
225,0.4421,0.4324,-0.0097,"Low Risk","Low Risk",FALSE,"At Risk"
123,0.7146,0.7055,-0.0091,"At Risk","At Risk",FALSE,"Low Risk"
213,0.4577,0.4485,-0.0091,"Low Risk","Low Risk",FALSE,"At Risk"
320,0.8114,0.8025,-0.0088,"At Risk","At Risk",FALSE,"Low Risk"
260,0.7887,0.7799,-0.0087,"At Risk","At Risk",FALSE,"Low Risk"
26,0.4652,0.4567,-0.0086,"Low Risk","Low Risk",FALSE,"At Risk"
45,0.4727,0.4641,-0.0086,"Low Risk","Low Risk",FALSE,"At Risk"
100,0.5146,0.506,-0.0086,"At Risk","At Risk",FALSE,"At Risk"
300,0.4911,0.4825,-0.0086,"Low Risk","Low Risk",FALSE,"Low Risk"
228,0.5656,0.5571,-0.0085,"At Risk","At Risk",FALSE,"At Risk"
203,0.7493,0.7409,-0.0084,"At Risk","At Risk",FALSE,"At Risk"
30,0.7051,0.6969,-0.0082,"At Risk","At Risk",FALSE,"Low Risk"
304,0.2134,0.2052,-0.0081,"Low Risk","Low Risk",FALSE,"Low Risk"
217,0.4884,0.4804,-0.008,"Low Risk","Low Risk",FALSE,"At Risk"
384,0.6324,0.6244,-0.008,"At Risk","At Risk",FALSE,"At Risk"
314,0.3439,0.3362,-0.0077,"Low Risk","Low Risk",FALSE,"Low Risk"
240,0.6717,0.6641,-0.0076,"At Risk","At Risk",FALSE,"Low Risk"
89,0.7899,0.7825,-0.0074,"At Risk","At Risk",FALSE,"At Risk"
132,0.5174,0.51,-0.0074,"At Risk","At Risk",FALSE,"Low Risk"
292,0.4972,0.4898,-0.0074,"Low Risk","Low Risk",FALSE,"Low Risk"
265,0.6468,0.6394,-0.0073,"At Risk","At Risk",FALSE,"Low Risk"
336,0.5339,0.5266,-0.0073,"At Risk","At Risk",FALSE,"Low Risk"
373,0.7008,0.6935,-0.0073,"At Risk","At Risk",FALSE,"At Risk"
185,0.5757,0.5684,-0.0072,"At Risk","At Risk",FALSE,"Low Risk"
