"predictor","estimate","std_error","odds_ratio","ci_lower","ci_upper","p_value","significant"
"(Intercept)",6.1287,2.5573,458.8259,3.0536,68941.6433,0.0166,TRUE
"failures",-0.9179,0.2131,0.3994,0.263,0.6064,0,TRUE
"absences",0.0025,0.0179,1.0025,0.9679,1.0382,0.8906,FALSE
"studytime",0.0796,0.1743,1.0829,0.7696,1.5237,0.6477,FALSE
"higheryes",-0.0415,0.6687,0.9594,0.2587,3.558,0.9505,FALSE
"schoolsupyes",-1.0727,0.3912,0.3421,0.1589,0.7364,0.0061,TRUE
"Medu",-0.0433,0.174,0.9576,0.6809,1.3468,0.8034,FALSE
"Fedu",0.1446,0.1598,1.1556,0.8448,1.5807,0.3655,FALSE
"goout",-0.3931,0.1369,0.675,0.5161,0.8828,0.0041,TRUE
"famrel",0.0712,0.1568,1.0738,0.7897,1.4601,0.6496,FALSE
"health",-0.0467,0.1034,0.9544,0.7794,1.1687,0.6517,FALSE
"age",-0.2599,0.1242,0.7712,0.6045,0.9838,0.0365,TRUE
"addressU",0.1833,0.3496,1.2012,0.6054,2.3834,0.6001,FALSE
"internetyes",0.2897,0.3615,1.3361,0.6579,2.7134,0.4228,FALSE
"romanticyes",-0.2971,0.2944,0.7429,0.4172,1.3228,0.3127,FALSE
"paidyes",0.4212,0.3064,1.5239,0.8358,2.7782,0.1692,FALSE
"famsupyes",-0.877,0.3181,0.416,0.2231,0.776,0.0058,TRUE
"activitiesyes",-0.0513,0.2749,0.95,0.5542,1.6282,0.8519,FALSE
"Dalc",-0.0121,0.2098,0.988,0.6549,1.4906,0.9542,FALSE
"Walc",0.1252,0.1548,1.1334,0.8367,1.5353,0.4186,FALSE
"traveltime",0.0174,0.2102,1.0175,0.6739,1.5364,0.934,FALSE
